HINDI,County,Municipality,Total Electors 2012,Voting Age Estimate 2012,Voter Turnout 2012,Total Electors 2016,Voting Age Estimate 2016,Voter Turnout 2016
11028,COLUMBIA COUNTY,TOWN OF NEWPORT,399,480,83.13%,391,486,80.45%
11030,COLUMBIA COUNTY,TOWN OF OTSEGO,399,573,69.63%,399,579,68.91%
11032,COLUMBIA COUNTY,TOWN OF PACIFIC,"1,674","2,170",77.14%,"1,600","2,191",73.03%
11034,COLUMBIA COUNTY,TOWN OF RANDOLPH,423,545,77.61%,419,553,75.77%
11036,COLUMBIA COUNTY,TOWN OF SCOTT,370,603,61.36%,338,608,55.59%
11038,COLUMBIA COUNTY,TOWN OF SPRINGVALE,294,389,75.58%,310,403,76.92%
11040,COLUMBIA COUNTY,TOWN OF WEST POINT,"1,269","1,523",83.32%,"1,281","1,549",82.70%
11042,COLUMBIA COUNTY,TOWN OF WYOCENA,959,"1,297",73.94%,961,"1,324",72.58%
11101,COLUMBIA COUNTY,VILLAGE OF ARLINGTON,483,606,79.70%,474,610,77.70%
11111,COLUMBIA COUNTY,VILLAGE OF CAMBRIA,378,550,68.73%,370,550,67.27%
11116,COLUMBIA COUNTY,VILLAGE OF DOYLESTOWN,142,234,60.68%,139,234,59.40%
11126,COLUMBIA COUNTY,VILLAGE OF FALL RIVER,839,"1,186",70.74%,805,"1,206",66.75%
11127,COLUMBIA COUNTY,VILLAGE OF FRIESLAND,179,262,68.32%,163,263,61.98%
11171,COLUMBIA COUNTY,VILLAGE OF PARDEEVILLE,"1,107","1,629",67.96%,"1,035","1,633",63.38%
11172,COLUMBIA COUNTY,VILLAGE OF POYNETTE,"1,312","1,860",70.54%,"1,239","1,868",66.33%
11176,COLUMBIA COUNTY,VILLAGE OF RANDOLPH,254,334,76.05%,238,335,71.04%
11177,COLUMBIA COUNTY,VILLAGE OF RIO,550,778,70.69%,561,784,71.56%
11191,COLUMBIA COUNTY,VILLAGE OF WYOCENA,363,606,59.90%,333,603,55.22%
12271,CRAWFORD COUNTY,CITY OF PRAIRIE DU CHIEN,"2,514","4,645",54.12%,"2,396","4,653",51.49%
12002,CRAWFORD COUNTY,TOWN OF BRIDGEPORT,551,752,73.27%,548,785,69.81%
12004,CRAWFORD COUNTY,TOWN OF CLAYTON,479,728,65.80%,462,727,63.55%
12006,CRAWFORD COUNTY,TOWN OF EASTMAN,375,549,68.31%,405,561,72.19%
12008,CRAWFORD COUNTY,TOWN OF FREEMAN,379,580,65.34%,420,594,70.71%
12010,CRAWFORD COUNTY,TOWN OF HANEY,177,244,72.54%,165,253,65.22%
12012,CRAWFORD COUNTY,TOWN OF MARIETTA,276,382,72.25%,263,400,65.75%
12014,CRAWFORD COUNTY,TOWN OF PRAIRIE DU CHIEN,465,884,52.60%,478,893,53.53%
12016,CRAWFORD COUNTY,TOWN OF SCOTT,249,368,67.66%,241,384,62.76%
12018,CRAWFORD COUNTY,TOWN OF SENECA,436,657,66.36%,454,678,66.96%
12020,CRAWFORD COUNTY,TOWN OF UTICA,341,521,65.45%,338,535,63.18%
12022,CRAWFORD COUNTY,TOWN OF WAUZEKA,210,311,67.52%,206,313,65.81%
12106,CRAWFORD COUNTY,VILLAGE OF BELL CENTER,53,82,64.63%,46,82,56.10%
12116,CRAWFORD COUNTY,VILLAGE OF DE SOTO,54,78,69.23%,47,77,61.04%
12121,CRAWFORD COUNTY,VILLAGE OF EASTMAN,175,318,55.03%,177,322,54.97%
12126,CRAWFORD COUNTY,VILLAGE OF FERRYVILLE,104,154,67.53%,126,160,78.75%
12131,CRAWFORD COUNTY,VILLAGE OF GAYS MILLS,257,377,68.17%,229,389,58.87%
12146,CRAWFORD COUNTY,VILLAGE OF LYNXVILLE,74,109,67.89%,71,111,63.96%
12151,CRAWFORD COUNTY,VILLAGE OF MT. STERLING,91,155,58.71%,87,156,55.77%
12181,CRAWFORD COUNTY,VILLAGE OF SOLDIERS GROVE,259,482,53.73%,247,476,51.89%
12182,CRAWFORD COUNTY,VILLAGE OF STEUBEN,59,91,64.84%,51,86,59.30%
12191,CRAWFORD COUNTY,VILLAGE OF WAUZEKA,282,502,56.18%,287,501,57.29%
13221,DANE COUNTY,CITY OF EDGERTON,50,65,76.92%,60,83,72.29%
13225,DANE COUNTY,CITY OF FITCHBURG,"13,573","19,146",70.89%,"13,938","21,089",66.09%
13251,DANE COUNTY,CITY OF MADISON,"152,049","194,474",78.18%,"153,528","206,186",74.46%
13255,DANE COUNTY,CITY OF MIDDLETON,"11,630","14,054",82.75%,"11,962","15,259",78.39%
13258,DANE COUNTY,CITY OF MONONA,"5,505","6,277",87.70%,"5,500","6,602",83.31%
13281,DANE COUNTY,CITY OF STOUGHTON,"7,220","9,506",75.95%,"7,133","9,709",73.47%
13282,DANE COUNTY,CITY OF SUN PRAIRIE,"16,238","21,622",75.10%,"16,723","23,780",70.32%
13286,DANE COUNTY,CITY OF VERONA,"6,909","7,745",89.21%,"7,455","8,686",85.83%
13002,DANE COUNTY,TOWN OF ALBION,"1,121","1,461",76.73%,"1,136","1,483",76.60%
13004,DANE COUNTY,TOWN OF BERRY,778,930,83.66%,762,939,81.15%
13006,DANE COUNTY,TOWN OF BLACK EARTH,338,378,89.42%,327,379,86.28%
13008,DANE COUNTY,TOWN OF BLOOMING GROVE,"1,148","1,494",76.84%,"1,034","1,491",69.35%
13010,DANE COUNTY,TOWN OF BLUE MOUNDS,593,710,83.52%,598,734,81.47%
13012,DANE COUNTY,TOWN OF BRISTOL,"2,299","2,740",83.91%,"2,415","3,010",80.23%
13014,DANE COUNTY,TOWN OF BURKE,"1,997","2,527",79.03%,"1,945","2,568",75.74%
13016,DANE COUNTY,TOWN OF CHRISTIANA,758,945,80.21%,725,967,74.97%
13018,DANE COUNTY,TOWN OF COTTAGE GROVE,"2,508","3,028",82.83%,"2,435","3,005",81.03%
13020,DANE COUNTY,TOWN OF CROSS PLAINS,986,"1,181",83.49%,962,"1,220",78.85%
13022,DANE COUNTY,TOWN OF DANE,552,761,72.54%,540,774,69.77%
13024,DANE COUNTY,TOWN OF DEERFIELD,926,"1,225",75.59%,908,"1,258",72.18%
13026,DANE COUNTY,TOWN OF DUNKIRK,"1,273","1,538",82.77%,"1,225","1,545",79.29%
13028,DANE COUNTY,TOWN OF DUNN,"3,372","4,028",83.71%,"3,264","4,062",80.35%
13032,DANE COUNTY,TOWN OF MADISON,"2,577","4,841",53.23%,"2,453","4,920",49.86%
13034,DANE COUNTY,TOWN OF MAZOMANIE,683,867,78.78%,649,879,73.83%
13036,DANE COUNTY,TOWN OF MEDINA,794,"1,021",77.77%,755,"1,034",73.02%
13038,DANE COUNTY,TOWN OF MIDDLETON,"4,036","4,210",95.87%,"4,096","4,557",89.88%
13040,DANE COUNTY,TOWN OF MONTROSE,700,872,80.28%,707,887,79.71%
13042,DANE COUNTY,TOWN OF OREGON,"2,142","2,419",88.55%,"2,126","2,473",85.97%
13044,DANE COUNTY,TOWN OF PERRY,496,554,89.53%,491,564,87.06%
13046,DANE COUNTY,TOWN OF PLEASANT SPRINGS,"2,124","2,474",85.85%,"2,102","2,543",82.66%
13048,DANE COUNTY,TOWN OF PRIMROSE,456,570,80.00%,448,579,77.37%
13050,DANE COUNTY,TOWN OF ROXBURY,"1,062","1,348",78.78%,"1,091","1,417",76.99%
13052,DANE COUNTY,TOWN OF RUTLAND,"1,312","1,565",83.83%,"1,296","1,599",81.05%
13054,DANE COUNTY,TOWN OF SPRINGDALE,"1,273","1,458",87.31%,"1,239","1,498",82.71%
13056,DANE COUNTY,TOWN OF SPRINGFIELD,"1,692","2,078",81.42%,"1,656","2,183",75.86%
13058,DANE COUNTY,TOWN OF SUN PRAIRIE,"1,407","1,702",82.67%,"1,379","1,762",78.26%
13060,DANE COUNTY,TOWN OF VERMONT,585,655,89.31%,550,664,82.83%
13062,DANE COUNTY,TOWN OF VERONA,"1,323","1,523",86.87%,"1,291","1,540",83.83%
13064,DANE COUNTY,TOWN OF VIENNA,913,"1,105",82.62%,928,"1,143",81.19%
13066,DANE COUNTY,TOWN OF WESTPORT,"2,823","3,255",86.73%,"2,830","3,316",85.34%
13068,DANE COUNTY,TOWN OF WINDSOR,,,#DIV/0!,,,#DIV/0!
13070,DANE COUNTY,TOWN OF YORK,412,518,79.54%,400,515,77.67%
13106,DANE COUNTY,VILLAGE OF BELLEVILLE,"1,068","1,366",78.18%,"1,041","1,378",75.54%
13107,DANE COUNTY,VILLAGE OF BLACK EARTH,787,"1,037",75.89%,786,"1,086",72.38%
13108,DANE COUNTY,VILLAGE OF BLUE MOUNDS,499,625,79.84%,518,684,75.73%
13109,DANE COUNTY,VILLAGE OF BROOKLYN,519,653,79.48%,527,664,79.37%
13111,DANE COUNTY,VILLAGE OF CAMBRIDGE,855,"1,035",82.61%,871,"1,048",83.11%
13112,DANE COUNTY,VILLAGE OF COTTAGE GROVE,"3,658","4,224",86.60%,"3,688","4,527",81.47%
13113,DANE COUNTY,VILLAGE OF CROSS PLAINS,"2,218","2,587",85.74%,"2,220","2,819",78.75%
13116,DANE COUNTY,VILLAGE OF DANE,552,723,76.35%,558,782,71.36%
13117,DANE COUNTY,VILLAGE OF DEERFIELD,"1,294","1,707",75.81%,"1,316","1,788",73.60%
13118,DANE COUNTY,VILLAGE OF DEFOREST,"4,970","6,416",77.46%,"5,036","6,732",74.81%
13151,DANE COUNTY,VILLAGE OF MAPLE BLUFF,"1,035","1,025",100.98%,"1,053","1,024",102.83%
13152,DANE COUNTY,VILLAGE OF MARSHALL,"1,874","2,753",68.07%,"1,759","2,767",63.57%
13153,DANE COUNTY,VILLAGE OF MAZOMANIE,993,"1,247",79.63%,940,"1,260",74.60%
13154,DANE COUNTY,VILLAGE OF MCFARLAND,"4,932","5,753",85.73%,"4,964","5,941",83.55%
13157,DANE COUNTY,VILLAGE OF MOUNT HOREB,"4,136","4,972",83.19%,"4,131","5,086",81.22%
13165,DANE COUNTY,VILLAGE OF OREGON,"5,770","6,676",86.43%,"5,972","7,070",84.47%
13176,DANE COUNTY,VILLAGE OF ROCKDALE,120,163,73.62%,106,163,65.03%
13181,DANE COUNTY,VILLAGE OF SHOREWOOD HILLS,"1,250","1,178",106.11%,"1,462","1,571",93.06%
13191,DANE COUNTY,VILLAGE OF WAUNAKEE,"7,344","8,432",87.10%,"7,725","9,207",83.90%
13196,DANE COUNTY,VILLAGE OF WINDSOR,"3,901","4,886",79.84%,"4,282","5,431",78.84%
14206,DODGE COUNTY,CITY OF BEAVER DAM,"7,526","12,282",61.28%,"7,171","12,711",56.42%
14211,DODGE COUNTY,CITY OF COLUMBUS,0,0,,0,0,
14226,DODGE COUNTY,CITY OF FOX LAKE,740,"1,203",61.51%,722,"1,207",59.82%
14230,DODGE COUNTY,CITY OF HARTFORD,0,0,,0,0,
14236,DODGE COUNTY,CITY OF HORICON,"1,869","2,777",67.30%,"1,768","2,874",61.52%
14241,DODGE COUNTY,CITY OF JUNEAU,"1,043","2,233",46.71%,988,"2,224",44.42%
14251,DODGE COUNTY,CITY OF MAYVILLE,"2,598","3,944",65.87%,"2,583","3,933",65.68%
14291,DODGE COUNTY,CITY OF WATERTOWN,"4,511","6,590",68.45%,"4,330","6,740",64.24%
14292,DODGE COUNTY,CITY OF WAUPUN,"2,369","6,803",34.82%,"2,263","6,949",32.57%
14002,DODGE COUNTY,TOWN OF ASHIPPUN,"1,567","1,964",79.79%,"1,589","2,002",79.37%
14004,DODGE COUNTY,TOWN OF BEAVER DAM,"2,163","3,027",71.46%,"2,122","3,094",68.58%
14006,DODGE COUNTY,TOWN OF BURNETT,549,712,77.11%,517,721,71.71%
14008,DODGE COUNTY,TOWN OF CALAMUS,538,809,66.50%,509,815,62.45%
14010,DODGE COUNTY,TOWN OF CHESTER,385,538,71.56%,371,550,67.45%
14012,DODGE COUNTY,TOWN OF CLYMAN,438,596,73.49%,426,607,70.18%
14014,DODGE COUNTY,TOWN OF ELBA,610,801,76.15%,592,814,72.73%
14016,DODGE COUNTY,TOWN OF EMMET,804,"1,023",78.59%,770,"1,034",74.47%
14018,DODGE COUNTY,TOWN OF FOX LAKE,698,"2,098",33.27%,700,"2,329",30.06%
14020,DODGE COUNTY,TOWN OF HERMAN,730,854,85.48%,696,881,79.00%
14022,DODGE COUNTY,TOWN OF HUBBARD,"1,058","1,389",76.17%,"1,045","1,410",74.11%
14024,DODGE COUNTY,TOWN OF HUSTISFORD,847,"1,081",78.35%,835,"1,099",75.98%
14026,DODGE COUNTY,TOWN OF LEBANON,983,"1,319",74.53%,919,"1,332",68.99%
14028,DODGE COUNTY,TOWN OF LEROY,544,762,71.39%,521,767,67.93%
14030,DODGE COUNTY,TOWN OF LOMIRA,655,874,74.94%,648,894,72.48%
14032,DODGE COUNTY,TOWN OF LOWELL,618,900,68.67%,575,914,62.91%
14034,DODGE COUNTY,TOWN OF OAK GROVE,587,829,70.81%,570,834,68.35%
14036,DODGE COUNTY,TOWN OF PORTLAND,599,857,69.89%,583,863,67.56%
14038,DODGE COUNTY,TOWN OF RUBICON,"1,367","1,714",79.75%,"1,349","1,758",76.73%
14040,DODGE COUNTY,TOWN OF SHIELDS,334,446,74.89%,645,459,140.52%
14042,DODGE COUNTY,TOWN OF THERESA,660,821,80.39%,622,833,74.67%
14044,DODGE COUNTY,TOWN OF TRENTON,749,997,75.13%,734,"1,009",72.75%
14046,DODGE COUNTY,TOWN OF WESTFORD,759,"1,011",75.07%,725,"1,019",71.15%
14048,DODGE COUNTY,TOWN OF WILLIAMSTOWN,464,578,80.28%,469,583,80.45%
14106,DODGE COUNTY,VILLAGE OF BROWNSVILLE,334,439,76.08%,325,450,72.22%
14111,DODGE COUNTY,VILLAGE OF CLYMAN,199,324,61.42%,192,321,59.81%
14136,DODGE COUNTY,VILLAGE OF HUSTISFORD,609,873,69.76%,577,877,65.79%
14141,DODGE COUNTY,VILLAGE OF IRON RIDGE,516,720,71.67%,483,731,66.07%
14143,DODGE COUNTY,VILLAGE OF KEKOSKEE,103,134,76.87%,84,135,62.22%
14146,DODGE COUNTY,VILLAGE OF LOMIRA,"1,233","1,840",67.01%,"1,193","1,850",64.49%
14147,DODGE COUNTY,VILLAGE OF LOWELL,172,266,64.66%,168,267,62.92%
14161,DODGE COUNTY,VILLAGE OF NEOSHO,333,445,74.83%,339,448,75.67%
14176,DODGE COUNTY,VILLAGE OF RANDOLPH,643,992,64.82%,620,981,63.20%
14177,DODGE COUNTY,VILLAGE OF REESEVILLE,325,526,61.79%,311,529,58.79%
14186,DODGE COUNTY,VILLAGE OF THERESA,717,998,71.84%,716,"1,003",71.39%
15281,DOOR COUNTY,CITY OF STURGEON BAY,"4,922","7,355",66.92%,"4,866","7,486",65.00%
15002,DOOR COUNTY,TOWN OF BAILEYS HARBOR,815,884,92.19%,816,904,90.27%
15004,DOOR COUNTY,TOWN OF BRUSSELS,588,839,70.08%,606,847,71.55%
15006,DOOR COUNTY,TOWN OF CLAY BANKS,253,311,81.35%,238,320,74.38%
15008,DOOR COUNTY,TOWN OF EGG HARBOR,911,"1,132",80.48%,915,"1,147",79.77%
15010,DOOR COUNTY,TOWN OF FORESTVILLE,584,848,68.87%,576,858,67.13%
15012,DOOR COUNTY,TOWN OF GARDNER,724,996,72.69%,707,"1,003",70.49%
15014,DOOR COUNTY,TOWN OF GIBRALTAR,799,868,92.05%,802,877,91.45%
15016,DOOR COUNTY,TOWN OF JACKSONPORT,528,594,88.89%,522,604,86.42%
15018,DOOR COUNTY,TOWN OF LIBERTY GROVE,"1,441","1,499",96.13%,"1,407","1,516",92.81%
15020,DOOR COUNTY,TOWN OF NASEWAUPEE,"1,241","1,712",72.49%,"1,240","1,739",71.31%
15022,DOOR COUNTY,TOWN OF SEVASTOPOL,"1,864","2,199",84.77%,"1,859","2,253",82.51%
15024,DOOR COUNTY,TOWN OF STURGEON BAY,523,689,75.91%,521,697,74.75%
15026,DOOR COUNTY,TOWN OF UNION,580,764,75.92%,610,771,79.12%
15028,DOOR COUNTY,TOWN OF WASHINGTON,592,606,97.69%,555,612,90.69%
15118,DOOR COUNTY,VILLAGE OF EGG HARBOR,200,188,106.38%,201,190,105.79%
15121,DOOR COUNTY,VILLAGE OF EPHRAIM,249,247,100.81%,245,248,98.79%
15127,DOOR COUNTY,VILLAGE OF FORESTVILLE,251,342,73.39%,251,343,73.18%
15181,DOOR COUNTY,VILLAGE OF SISTER BAY,636,804,79.10%,671,821,81.73%
16281,DOUGLAS COUNTY,CITY OF SUPERIOR,"10,597","21,468",49.36%,"12,401","21,675",57.21%
16002,DOUGLAS COUNTY,TOWN OF AMNICON,658,850,77.41%,649,881,73.67%
16004,DOUGLAS COUNTY,TOWN OF BENNETT,353,486,72.63%,366,495,73.94%
16006,DOUGLAS COUNTY,TOWN OF BRULE,409,526,77.76%,379,534,70.97%
16008,DOUGLAS COUNTY,TOWN OF CLOVERLAND,131,165,79.39%,131,161,81.37%
16010,DOUGLAS COUNTY,TOWN OF DAIRYLAND,111,156,71.15%,113,156,72.44%
16012,DOUGLAS COUNTY,TOWN OF GORDON,450,537,83.80%,459,541,84.84%
16014,DOUGLAS COUNTY,TOWN OF HAWTHORNE,587,871,67.39%,608,867,70.13%
16016,DOUGLAS COUNTY,TOWN OF HIGHLAND,193,259,74.52%,221,251,88.05%
16018,DOUGLAS COUNTY,TOWN OF LAKESIDE,390,511,76.32%,384,518,74.13%
16020,DOUGLAS COUNTY,TOWN OF MAPLE,406,561,72.37%,389,577,67.42%
16022,DOUGLAS COUNTY,TOWN OF OAKLAND,662,918,72.11%,674,941,71.63%
16024,DOUGLAS COUNTY,TOWN OF PARKLAND,692,970,71.34%,682,988,69.03%
16026,DOUGLAS COUNTY,TOWN OF SOLON SPRINGS,575,720,79.86%,600,730,82.19%
16028,DOUGLAS COUNTY,TOWN OF SUMMIT,608,854,71.19%,601,861,69.80%
16030,DOUGLAS COUNTY,TOWN OF SUPERIOR,"1,317","1,717",76.70%,"1,285","1,748",73.51%
16032,DOUGLAS COUNTY,TOWN OF WASCOTT,502,709,70.80%,491,702,69.94%
16146,DOUGLAS COUNTY,VILLAGE OF LAKE NEBAGAMON,747,840,88.93%,698,850,82.12%
16165,DOUGLAS COUNTY,VILLAGE OF OLIVER,245,312,78.53%,252,324,77.78%
16171,DOUGLAS COUNTY,VILLAGE OF POPLAR,364,446,81.61%,347,452,76.77%
16181,DOUGLAS COUNTY,VILLAGE OF SOLON SPRINGS,358,462,77.49%,382,466,81.97%
16182,DOUGLAS COUNTY,VILLAGE OF SUPERIOR,394,529,74.48%,399,542,73.62%
17251,DUNN COUNTY,CITY OF MENOMONIE,"7,604","14,008",54.28%,"7,509","14,303",52.50%
17002,DUNN COUNTY,TOWN OF COLFAX,606,886,68.40%,614,924,66.45%
17004,DUNN COUNTY,TOWN OF DUNN,766,"1,181",64.86%,773,"1,192",64.85%
17006,DUNN COUNTY,TOWN OF EAU GALLE,441,615,71.71%,437,628,69.59%
17008,DUNN COUNTY,TOWN OF ELK MOUND,880,"1,221",72.07%,901,"1,289",69.90%
17010,DUNN COUNTY,TOWN OF GRANT,242,300,80.67%,244,307,79.48%
17012,DUNN COUNTY,TOWN OF HAY RIVER,277,437,63.39%,312,445,70.11%
17014,DUNN COUNTY,TOWN OF LUCAS,401,582,68.90%,415,589,70.46%
17016,DUNN COUNTY,TOWN OF MENOMONIE,"1,781","2,522",70.62%,"1,742","2,600",67.00%
17018,DUNN COUNTY,TOWN OF NEW HAVEN,334,518,64.48%,333,529,62.95%
17020,DUNN COUNTY,TOWN OF OTTER CREEK,265,380,69.74%,259,385,67.27%
17022,DUNN COUNTY,TOWN OF PERU,125,193,64.77%,125,196,63.78%
17024,DUNN COUNTY,TOWN OF RED CEDAR,"1,217","1,561",77.96%,"1,226","1,602",76.53%
17026,DUNN COUNTY,TOWN OF ROCK CREEK,520,728,71.43%,535,755,70.86%
17028,DUNN COUNTY,TOWN OF SAND CREEK,295,440,67.05%,302,450,67.11%
17030,DUNN COUNTY,TOWN OF SHERIDAN,239,356,67.13%,242,368,65.76%
17032,DUNN COUNTY,TOWN OF SHERMAN,503,685,73.43%,509,703,72.40%
17034,DUNN COUNTY,TOWN OF SPRING BROOK,874,"1,192",73.32%,901,"1,253",71.91%
17036,DUNN COUNTY,TOWN OF STANTON,414,609,67.98%,433,611,70.87%
17038,DUNN COUNTY,TOWN OF TAINTER,"1,420","1,882",75.45%,"1,452","1,941",74.81%
17040,DUNN COUNTY,TOWN OF TIFFANY,333,484,68.80%,340,486,69.96%
17042,DUNN COUNTY,TOWN OF WESTON,307,433,70.90%,304,443,68.62%
17044,DUNN COUNTY,TOWN OF WILSON,262,391,67.01%,270,397,68.01%
17106,DUNN COUNTY,VILLAGE OF BOYCEVILLE,482,818,58.92%,436,825,52.85%
17111,DUNN COUNTY,VILLAGE OF COLFAX,524,871,60.16%,538,859,62.63%
17116,DUNN COUNTY,VILLAGE OF DOWNING,100,190,52.63%,119,191,62.30%
17121,DUNN COUNTY,VILLAGE OF ELK MOUND,376,610,61.64%,356,611,58.27%
17141,DUNN COUNTY,VILLAGE OF KNAPP,238,373,63.81%,234,376,62.23%
17176,DUNN COUNTY,VILLAGE OF RIDGELAND,102,210,48.57%,114,211,54.03%
17191,DUNN COUNTY,VILLAGE OF WHEELER,136,248,54.84%,116,248,46.77%
18201,EAU CLAIRE COUNTY,CITY OF ALTOONA,"3,623","5,152",70.32%,"3,824","5,583",68.49%
18202,EAU CLAIRE COUNTY,CITY OF AUGUSTA,638,"1,161",54.95%,620,"1,162",53.36%
18221,EAU CLAIRE COUNTY,CITY OF EAU CLAIRE,"35,744","52,189",68.49%,"35,270","53,450",65.99%
18002,EAU CLAIRE COUNTY,TOWN OF BRIDGE CREEK,593,"1,291",45.93%,602,"1,308",46.02%
18004,EAU CLAIRE COUNTY,TOWN OF BRUNSWICK,"1,040","1,300",80.00%,"1,048","1,464",71.58%
18006,EAU CLAIRE COUNTY,TOWN OF CLEAR CREEK,425,606,70.13%,418,620,67.42%
18008,EAU CLAIRE COUNTY,TOWN OF DRAMMEN,445,623,71.43%,422,646,65.33%
18010,EAU CLAIRE COUNTY,TOWN OF FAIRCHILD,147,263,55.89%,142,272,52.21%
18012,EAU CLAIRE COUNTY,TOWN OF LINCOLN,604,819,73.75%,585,851,68.74%
18014,EAU CLAIRE COUNTY,TOWN OF LUDINGTON,585,797,73.40%,585,815,71.78%
18016,EAU CLAIRE COUNTY,TOWN OF OTTER CREEK,248,336,73.81%,254,339,74.93%
18018,EAU CLAIRE COUNTY,TOWN OF PLEASANT VALLEY,"2,106","2,260",93.19%,"2,180","2,388",91.29%
18020,EAU CLAIRE COUNTY,TOWN OF SEYMOUR,"1,908","2,517",75.80%,"1,964","2,616",75.08%
18022,EAU CLAIRE COUNTY,TOWN OF UNION,"1,457","2,069",70.42%,"1,466","2,168",67.62%
18024,EAU CLAIRE COUNTY,TOWN OF WASHINGTON,"4,355","5,481",79.46%,"4,372","5,613",77.89%
18026,EAU CLAIRE COUNTY,TOWN OF WILSON,195,359,54.32%,205,369,55.56%
18126,EAU CLAIRE COUNTY,VILLAGE OF FAIRCHILD,218,417,52.28%,199,420,47.38%
18127,EAU CLAIRE COUNTY,VILLAGE OF FALL CREEK,749,973,76.98%,729,973,74.92%
19002,FLORENCE COUNTY,TOWN OF AURORA,544,831,65.46%,550,871,63.15%
19004,FLORENCE COUNTY,TOWN OF COMMONWEALTH,225,320,70.31%,228,326,69.94%
19006,FLORENCE COUNTY,TOWN OF FENCE,129,164,78.66%,136,172,79.07%
19008,FLORENCE COUNTY,TOWN OF FERN,117,130,90.00%,126,131,96.18%
19010,FLORENCE COUNTY,TOWN OF FLORENCE,"1,197","1,628",73.53%,"1,164","1,674",69.53%
19012,FLORENCE COUNTY,TOWN OF HOMESTEAD,219,275,79.64%,240,285,84.21%
19014,FLORENCE COUNTY,TOWN OF LONG LAKE,104,134,77.61%,109,137,79.56%
19016,FLORENCE COUNTY,TOWN OF TIPLER,102,129,79.07%,104,133,78.20%
20226,FOND DU LAC COUNTY,CITY OF FOND DU LAC,"20,435","33,523",60.96%,"19,081","33,953",56.20%
20276,FOND DU LAC COUNTY,CITY OF RIPON,"3,794","6,179",61.40%,"3,622","6,320",57.31%
20292,FOND DU LAC COUNTY,CITY OF WAUPUN,"1,837","2,655",69.19%,"1,802","2,687",67.06%
20002,FOND DU LAC COUNTY,TOWN OF ALTO,621,778,79.82%,600,799,75.09%
20004,FOND DU LAC COUNTY,TOWN OF ASHFORD,"1,037","1,375",75.42%,997,"1,401",71.16%
20006,FOND DU LAC COUNTY,TOWN OF AUBURN,"1,441","1,823",79.05%,"1,415","1,858",76.16%
20008,FOND DU LAC COUNTY,TOWN OF BYRON,"1,010","1,311",77.04%,965,"1,335",72.28%
20010,FOND DU LAC COUNTY,TOWN OF CALUMET,865,"1,188",72.81%,843,"1,213",69.50%
20012,FOND DU LAC COUNTY,TOWN OF EDEN,648,816,79.41%,620,826,75.06%
20014,FOND DU LAC COUNTY,TOWN OF ELDORADO,839,"1,130",74.25%,845,"1,148",73.61%
20016,FOND DU LAC COUNTY,TOWN OF EMPIRE,"1,849","2,191",84.39%,"1,731","2,215",78.15%
20018,FOND DU LAC COUNTY,TOWN OF FOND DU LAC,"1,979","2,617",75.62%,"1,973","2,772",71.18%
20020,FOND DU LAC COUNTY,TOWN OF FOREST,648,830,78.07%,662,841,78.72%
20022,FOND DU LAC COUNTY,TOWN OF FRIENDSHIP,"1,431","2,156",66.37%,"1,412","2,185",64.62%
20024,FOND DU LAC COUNTY,TOWN OF LAMARTINE,"1,049","1,353",77.53%,"1,018","1,389",73.29%
20026,FOND DU LAC COUNTY,TOWN OF MARSHFIELD,663,926,71.60%,643,935,68.77%
20028,FOND DU LAC COUNTY,TOWN OF METOMEN,408,536,76.12%,400,536,74.63%
20030,FOND DU LAC COUNTY,TOWN OF OAKFIELD,385,543,70.90%,375,551,68.06%
20032,FOND DU LAC COUNTY,TOWN OF OSCEOLA,"1,159","1,493",77.63%,"1,090","1,503",72.52%
20034,FOND DU LAC COUNTY,TOWN OF RIPON,803,"1,084",74.08%,781,"1,103",70.81%
20036,FOND DU LAC COUNTY,TOWN OF ROSENDALE,420,538,78.07%,403,550,73.27%
20038,FOND DU LAC COUNTY,TOWN OF SPRINGVALE,391,536,72.95%,385,548,70.26%
20040,FOND DU LAC COUNTY,TOWN OF TAYCHEEDAH,"2,822","3,306",85.36%,"2,799","3,509",79.77%
20042,FOND DU LAC COUNTY,TOWN OF WAUPUN,835,"1,065",78.40%,778,"1,084",71.77%
20106,FOND DU LAC COUNTY,VILLAGE OF BRANDON,450,632,71.20%,435,635,68.50%
20111,FOND DU LAC COUNTY,VILLAGE OF CAMPBELLSPORT,"1,011","1,524",66.34%,960,"1,530",62.75%
20121,FOND DU LAC COUNTY,VILLAGE OF EDEN,418,659,63.43%,396,672,58.93%
20126,FOND DU LAC COUNTY,VILLAGE OF FAIRWATER,187,284,65.85%,163,284,57.39%
20142,FOND DU LAC COUNTY,VILLAGE OF KEWASKUM,0,0,,0,0,
20151,FOND DU LAC COUNTY,VILLAGE OF MOUNT CALVARY,300,347,86.46%,302,347,87.03%
20161,FOND DU LAC COUNTY,VILLAGE OF NORTH FOND DU LAC,"2,441","3,865",63.16%,"2,344","4,061",57.72%
20165,FOND DU LAC COUNTY,VILLAGE OF OAKFIELD,609,800,76.13%,590,818,72.13%
20176,FOND DU LAC COUNTY,VILLAGE OF ROSENDALE,596,766,77.81%,576,763,75.49%
20181,FOND DU LAC COUNTY,VILLAGE OF ST. CLOUD,302,378,79.89%,321,382,84.03%
21211,FOREST COUNTY,CITY OF CRANDON,817,"1,463",55.84%,784,"1,457",53.81%
